stock symbol,name,macro,sector,industry,basic_industry,total_shares
JAYAGROGN,JAYANT AGRO ORGANICS LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
JAYBARMARU,JAY BHARAT MARUTI LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
JAYKAY,JAYKAY ENTERPRISES LTD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
JAYNECOIND,JAYASWAL NECO INDUSTR LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
JAYSREETEA,JAYSHREE TEA & INDUSTRIES,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
JETFREIGHT,JET FREIGHT LOGISTICS LTD,Services,Services,Transport Services,Logistics Solution Provider,0.0
JGCHEM,J.G.CHEMICALS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
JINDALPHOT,JINDAL PHOTO LIMITED,Financial Services,Financial Services,Finance,Investment Company,0.0
JINDALPOLY,JINDAL POLY FILMS LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
131NSETEST,131NSETEST,,,,,0.0
RAJMET,RAJNANDINI METAL LIMITED,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,0.0
091NSETEST,091NSETEST,,,,,0.0
FCSSOFT,FCS SOFTWARE SOLN. LTD.,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
JINDRILL,JINDAL DRILLING IND. LTD,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,0.0
JINDWORLD,JINDAL WORLDWIDE LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
JISLDVREQS,JAIN DVR EQUITY SHARES,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
JISLJALEQS,JAIN IRRIGATION SYSTEMS,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
JKIL,JKUMAR INFR.LTD.,Industrials,Construction,Construction,Civil Construction,0.0
JKIPL,JINKUSHAL INDUSTRIES LTD,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Dealers���Commercial Vehicles Tractors Construction Vehicles,0.0
JKLAKSHMI,JK LAKSHMI CEMENT LTD,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
JKPAPER,JK PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
JLHL,JUPITER LIFE LINE HOSP L,Healthcare,Healthcare,Healthcare Services,Hospital,0.0
JMA,JULLUNDUR MOT AGENCY LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Trading - Auto Components,0.0
JNKINDIA,JNK INDIA LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
JOCIL,JOCIL LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
JPOLYINVST,JIND POL INV & FIN CO LTD,Financial Services,Financial Services,Finance,Investment Company,0.0
JSFB,JANA SMALL FIN BANK LTD,Financial Services,Financial Services,Banks,Other Bank,0.0
JSLL,JEENA SIKHO LIFECARE LTD,Consumer Discretionary,Consumer Services,Leisure Services,Wellness,0.0
JSWHL,JSW HOLDINGS LIMITED,Financial Services,Financial Services,Finance,Investment Company,0.0
JTEKTINDIA,JTEKT INDIA LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
JTLIND,JTL INDUSTRIES LIMITED,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
